From	To	Distance	Sign
PRKCI	RPS6KB2	1	1
PRKCI	BAD	1	1
PRKCI	MARK2	1	1
PRKCI	FBXW7	1	1
PRKCI	MAPT	1	1
PRKCI	ECT2	1	1
PRKCI	MARK3	1	1
PRKCI	SLC2A4	1	1
PRKCI	EZR	1	1
PLK1	CETN2	1	1
PLK1	ATXN10	1	1
PLK1	TERF1	1	1
PLK1	PAFAH1B1	1	1
PLK1	CLIP1	1	1
PLK1	CDC27	1	1
PLK1	WEE1	1	1
PLK1	CDC25C	1	1
PLK1	PPP2R1A	1	1
PLK1	DVL2	1	1
PLK1	NDC80	1	1
PLK1	FBXO5	1	1
PLK1	TPX2	1	1
PLK1	ANAPC10	1	1
PLK1	FZR1	1	1
PLK1	IKBKB	1	1
PLK1	AURKA	1	1
PLK1	AZI1	1	1
PLK1	CEP164	1	1
PLK1	SMC3	1	1
PLK1	PRKAR2B	1	1
PLK1	CDC23	1	1
PLK1	ANAPC7	1	1
PLK1	ANAPC5	1	1
PLK1	ANAPC4	1	1
PLK1	ANAPC2	1	1
PLK1	CEP290	1	1
PLK1	TP73	1	1
PLK1	BIRC5	1	1
PLK1	CDK5RAP2	1	1
PLK1	CEP63	1	1
PLK1	NUDC	1	1
PLK1	NINL	1	1
PLK1	MAD1L1	1	1
PLK1	CEP192	1	1
PLK1	ALMS1	1	1
PLK1	CEP76	1	1
PLK1	PINX1	1	1
PLK1	CCP110	1	1
PLK1	SSNA1	1	1
PLK1	CLASP1	1	1
PLK1	CNTRL	1	1
PLK1	ODF2	1	1
PLK1	PKMYT1	1	1
PLK1	CDC6	1	1
PLK1	STAG1	1	1
PLK1	SGOL1	1	1
PLK1	AKAP9	1	1
PLK1	CEP78	1	1
PLK1	MLF1IP	1	1
PLK1	NEK2	1	1
PLK1	UBE2E1	1	1
PLK1	CEP57	1	1
PLK1	UBE2D1	1	1
PLK1	BRCA2	1	1
PLK1	SDCCAG8	1	1
PLK1	BORA	1	1
PLK1	TUBA1A	1	1
PLK1	DYNLL1	1	1
PLK1	CEP152	1	1
PLK1	CCNA1	2	1
PLK1	GORASP1	1	1
PLK1	CEP250	1	1
PLK1	CEP41	1	1
PLK1	RAD21	1	1
PLK1	KAT7	1	1
PLK1	KIF20A	1	1
PLK1	FGFR1OP	1	1
PLK1	PCNT	1	1
PLK1	CHEK2	1	1
PLK1	TOP2A	1	1
PLK1	CENPJ	1	1
PLK1	CLSPN	1	1
PLK1	ECT2	1	1
PLK1	YWHAE	1	1
PLK1	RACGAP1	1	1
PLK1	ANAPC1	1	1
PLK1	TP63	1	1
PLK1	RAN	1	1
PLK1	MAP9	1	1
PLK1	ACTR1A	1	1
PLK1	TPT1	1	1
PLK1	YWHAG	1	1
PLK1	CCNB1	1	1
PLK1	KIF23	1	1
PLK1	CENPE	1	1
PLK1	CEP55	1	1
PLK1	ERCC6L	1	1
PLK1	CEP135	1	1
PLK1	CDC26	1	1
PLK1	NEDD1	1	1
PLK1	CEP70	1	1
PLK1	CSNK1E	1	1
PLK1	YY1	1	1
PLK1	PLK1S1	1	1
PLK1	STAG2	1	1
PLK1	SPC24	1	1
PLK1	PRKACA	1	1
PLK1	CSNK1D	1	1
PLK1	BUB1B	1	1
PLK1	CDK1	1	1
PLK1	NPM1	1	1
PLK1	PCM1	1	1
PLK1	PLEKHG6	1	1
PLK1	SMC1A	1	1
PLK1	ESPL1	1	1
PLK1	CTNNB1	1	1
PLK1	NUMA1	3	1
PLK1	DCTN1	1	1
PLK1	DYNC1H1	1	1
PLK1	IRS1	1	1
PLK1	TUBB	1	1
PLK1	SFI1	1	1
PLK1	TUBG1	1	1
PLK1	TUBB4B	1	1
PLK1	TUBA4A	1	1
PLK1	HSP90AA1	1	1
PLK1	SNCB	1	1
PLK1	MAPRE1	1	1
PLK1	VIM	1	1
PLK1	TUBB4A	1	1
PLK1	OFD1	1	1
PLK1	MDM2	1	1
PLK1	DCTN3	1	1
PLK1	HSF1	1	1
PLK1	SNCA	1	1
PLK1	ROCK2	1	1
PLK1	CDC20	1	1
PLK1	ANAPC11	1	1
PLK1	NDE1	1	1
PLK1	GTSE1	1	1
PLK1	KIF2A	1	1
PLK1	TOPORS	1	1
PLK1	UBE2C	1	1
PLK1	CKAP5	1	1
PLK1	HAUS2	1	1
PLK1	PLK4	1	1
PLK1	FADD	1	1
PLK1	CDC16	1	1
PLK1	DCTN2	1	1
PLK1	PIN1	1	1
PLK1	CEP72	1	1
PLK1	CCNA2	2	1
PLK1	DYNC1I2	1	1
DAPK1	MYL12B	1	1
DAPK1	CAMKK2	1	1
DAPK1	MCM3	1	1
DAPK1	BECN1	1	1
DAPK1	TP53	1	1
ARFIP2	COPA	4	-1
ARFIP2	MTOR	3	-1
ARFIP2	CLTA	4	-1
ARFIP2	CLTB	4	-1
ARFIP2	ASAP1	3	-1
ARFIP2	PLD2	1	-1
ARFIP2	DEPTOR	3	-1
ARFIP2	AKT1S1	3	-1
ARFIP2	PRR5	3	-1
ARFIP2	PIP5K1A	3	-1
ARFIP2	ARF1	4	-1
ARFIP2	RICTOR	3	-1
ARFIP2	RAC1	1	1
ARFIP2	MAPKAP1	3	-1
ARFIP2	MLST8	3	-1
ARFIP2	KALRN	4	-1
ARFIP2	PIP5K1C	3	-1
ARFIP2	ARF6	3	-1
ARFIP2	RPTOR	3	-1
PTP4A1	MAPK10	4	-1
PTP4A1	PIK3CA	3	0
PTP4A1	MTOR	4	-1
PTP4A1	CASP3	4	-1
PTP4A1	ARRB2	3	1
PTP4A1	BID	4	-1
PTP4A1	DAPP1	4	-1
PTP4A1	MAP2K7	3	-1
PTP4A1	IKBKB	4	1
PTP4A1	AKT1	3	-1
PTP4A1	SFN	3	1
PTP4A1	YWHAB	3	1
PTP4A1	BCAR1	3	1
PTP4A1	CDH5	2	1
PTP4A1	STAT3	3	1
PTP4A1	BAD	3	0
PTP4A1	ARHGEF2	4	-1
PTP4A1	TSC1	3	1
PTP4A1	PDPK1	4	-1
PTP4A1	MAP2K4	3	-1
PTP4A1	MAPK9	4	-1
PTP4A1	MAPK8	3	-1
PTP4A1	CRK	3	0
PTP4A1	CDKN1B	4	-1
PTP4A1	ATF5	1	1
PTP4A1	NCOR2	3	1
PTP4A1	BCL2L11	4	-1
PTP4A1	FOXO3	4	-1
PTP4A1	NCK2	3	-1
